Teties,,,
Cycles,Time,Err,Accuracy
0,0.784,0.041821374,2.976190476
1000,31.388,0.027366096,26.98412698
2000,62.25,0.02507886,32.34126984
3000,92.942,0.022085359,38.59126984
4000,123.685,0.019572827,47.12301587
5000,154.331,0.017873741,52.87698413
6000,185.068,0.016492388,56.34920635
7000,216.187,0.015090837,60.01984127
8000,246.899,0.014036034,62.40079365
9000,277.758,0.013581598,65.17857143
10000,308.49,0.012486722,68.5515873
11000,339.219,0.012026242,70.13888889
12000,369.973,0.011574458,70.63492063
13000,400.839,0.011344434,72.22222222
14000,432.178,0.010971653,72.61904762
15000,463.479,0.010277345,74.10714286
16000,494.56,0.009987823,75.3968254
17000,525.68,0.009744879,75.49603175
18000,556.971,0.009622552,76.38888889
19000,587.802,0.009448627,76.68650794
20000,618.616,0.009354318,77.08333333
21000,649.443,0.009209196,77.48015873
22000,680.258,0.008667667,79.36507937
23000,711.479,0.008720042,77.97619048
24000,742.407,0.008360774,79.16666667
25000,773.248,0.008153594,79.86111111
26000,804.201,0.008056096,80.55555556
27000,835.177,0.008104773,79.86111111
28000,866.017,0.007903104,79.96031746
29000,896.605,0.007610842,80.6547619
30000,927.214,0.007505279,81.25
31000,958.039,0.007550275,80.6547619
32000,988.794,0.007164274,82.53968254
33000,1019.756,0.007394027,81.94444444
34000,1050.494,0.007052499,82.93650794
35000,1081.319,0.00696591,82.53968254
36000,1112.074,0.006963456,82.83730159
37000,1142.877,0.006908349,82.83730159
38000,1173.672,0.006826682,83.03571429
39000,1204.432,0.006732414,83.03571429
40000,1235.221,0.0067406,83.13492063
41000,1266.194,0.006689739,83.03571429
42000,1296.925,0.006651848,83.33333333
43000,1327.642,0.006473072,84.12698413
44000,1358.372,0.006331511,84.72222222
45000,1389.076,0.00649979,84.32539683
46000,1419.863,0.00635931,84.02777778
47000,1450.72,0.006258545,84.32539683
48000,1481.459,0.00633464,84.12698413
49000,1512.307,0.006303422,84.82142857
50000,1543.147,0.006156328,85.21825397
51000,1574.055,0.006104839,84.62301587
52000,1604.962,0.005940716,85.11904762
53000,1635.764,0.006023659,84.92063492
54000,1666.578,0.005984679,85.21825397
55000,1697.444,0.00591063,85.41666667
56000,1728.574,0.005905871,85.31746032
57000,1759.709,0.005800137,85.51587302
58000,1790.371,0.005681426,85.91269841
59000,1821.346,0.005548823,86.11111111
60000,1852.309,0.005482249,86.30952381
61000,1883.204,0.005628821,85.91269841
62000,1914.125,0.005505722,85.91269841
63000,1945.124,0.005365015,86.9047619
64000,1976.03,0.005474121,85.71428571
65000,2006.839,0.005459184,86.21031746
66000,2037.769,0.005203276,87.1031746
67000,2068.57,0.005294974,86.80555556
68000,2099.706,0.005234972,87.3015873
69000,2130.404,0.005181167,86.9047619
70000,2161.196,0.00517637,87.20238095
71000,2191.941,0.005081578,87.5
72000,2222.757,0.005230844,87.00396825
73000,2253.57,0.005112608,87.40079365
74000,2284.704,0.005181951,86.80555556
75000,2315.915,0.005236316,86.60714286
76000,2347.062,0.004943912,88.39285714
77000,2378.035,0.004914888,87.99603175
78000,2408.88,0.004857269,87.8968254
79000,2439.715,0.00486439,88.19444444
80000,2470.993,0.004948874,87.3015873
81000,2502.53,0.004893735,88.39285714
82000,2533.455,0.004840931,88.29365079
83000,2564.293,0.004891942,87.59920635
84000,2595.05,0.004759644,88.78968254
85000,2625.867,0.00471717,88.29365079
86000,2656.814,0.004720226,88.59126984
87000,2687.761,0.00479648,88.69047619
88000,2718.538,0.004702697,88.69047619
89000,2749.791,0.004700536,88.69047619
90000,2780.661,0.004823449,88.19444444
91000,2811.415,0.004779864,88.0952381
92000,2842.18,0.004653782,88.69047619
93000,2872.836,0.00458875,89.28571429
94000,2903.631,0.004574179,89.08730159
95000,2934.361,0.004439566,89.38492063
96000,2965.442,0.004532918,89.18650794
97000,2996.155,0.004630928,88.69047619
98000,3026.891,0.004592542,88.69047619
99000,3057.651,0.004584631,89.48412698
100000,3088.392,0.004537034,89.58333333
101000,3119.193,0.004501058,89.48412698
102000,3149.867,0.004437668,89.68253968
103000,3181.207,0.004389078,89.98015873
104000,3211.978,0.004396153,89.98015873
105000,3242.977,0.004342823,90.37698413
106000,3273.812,0.004406579,89.48412698
107000,3304.426,0.004320424,90.07936508
108000,3335.432,0.004297322,90.37698413
109000,3366.145,0.004348136,90.37698413
110000,3397.07,0.004246649,90.87301587
111000,3427.768,0.004301316,90.47619048
112000,3458.441,0.004322235,90.37698413
113000,3489.113,0.0043467,90.17857143
114000,3520.233,0.004324026,90.67460317
115000,3551.356,0.004186112,90.87301587
116000,3582.4,0.004194294,90.77380952
117000,3613.455,0.004207622,90.37698413
118000,3644.573,0.004139373,91.17063492
119000,3675.671,0.004241601,91.07142857
120000,3706.689,0.004253215,90.77380952
121000,3737.447,0.004138214,91.17063492
122000,3768.202,0.004095763,91.17063492
123000,3798.922,0.004077185,91.26984127
124000,3829.671,0.004109125,91.26984127
125000,3860.519,0.004137853,91.17063492
126000,3891.737,0.004122859,91.26984127
127000,3922.524,0.004150726,91.26984127
128000,3953.337,0.004035088,91.66666667
129000,3984.311,0.004032343,91.07142857
130000,4015.023,0.004098358,91.56746032
131000,4045.642,0.004085486,91.66666667
132000,4076.545,0.004050099,92.36111111
133000,4107.407,0.004035542,91.86507937
134000,4138.101,0.004046639,91.96428571
135000,4168.796,0.003985807,91.96428571
136000,4199.435,0.003987222,91.96428571
137000,4230.068,0.00390779,92.26190476
138000,4260.652,0.003959534,92.06349206
139000,4291.833,0.003875929,91.86507937
140000,4322.92,0.003857628,92.06349206
141000,4353.531,0.003904247,91.96428571
142000,4384.38,0.003832047,91.96428571
143000,4415.463,0.003903945,91.96428571
144000,4446.409,0.003834097,92.06349206
145000,4477.351,0.003912191,92.36111111
146000,4508.149,0.003809338,92.55952381
147000,4539.545,0.003791283,92.36111111
148000,4571.046,0.003857581,92.36111111
149000,4602.588,0.003787661,92.26190476
150000,4634.124,0.003736369,92.36111111
151000,4665.572,0.003789184,92.36111111
152000,4696.983,0.003709052,92.75793651
153000,4728.551,0.003744259,92.65873016
154000,4760.069,0.003665746,92.85714286
155000,4791.091,0.003640178,92.65873016
156000,4822.159,0.003746848,92.55952381
157000,4853.272,0.003720908,92.95634921
158000,4884.219,0.003769049,92.65873016
159000,4915.38,0.003771317,92.65873016
160000,4946.324,0.003696461,92.46031746
161000,4977.339,0.00369603,92.85714286
162000,5008.473,0.003686299,92.85714286
163000,5039.518,0.003678845,92.65873016
164000,5070.632,0.003538156,93.1547619
165000,5101.802,0.003555021,93.05555556
166000,5132.886,0.003734597,92.55952381
167000,5163.932,0.003613842,93.05555556
168000,5195.242,0.003639533,92.75793651
169000,5225.857,0.003680273,92.75793651
170000,5256.43,0.003594449,93.05555556
171000,5287.004,0.003598178,92.65873016
172000,5317.75,0.003566241,92.75793651
173000,5348.362,0.003521773,93.1547619
174000,5378.913,0.003498622,93.05555556
175000,5409.524,0.003678228,92.46031746
176000,5440.297,0.003600794,92.85714286
177000,5471.29,0.003657941,92.55952381
178000,5502.072,0.003590909,92.95634921
179000,5532.68,0.00356352,92.85714286
180000,5563.485,0.003507171,92.85714286
181000,5594.087,0.003556867,93.3531746
182000,5624.812,0.003521892,92.85714286
183000,5655.53,0.003560881,92.85714286
184000,5686.418,0.003624886,92.55952381
185000,5717.586,0.003622415,92.85714286
186000,5748.229,0.003569097,92.95634921
187000,5778.928,0.003597671,92.55952381
188000,5809.523,0.003581997,92.85714286
189000,5840.337,0.003542914,93.25396825
190000,5871.138,0.003453938,93.3531746
191000,5902.012,0.003371671,93.05555556
192000,5932.874,0.003514262,92.85714286
193000,5963.871,0.003482332,92.95634921
194000,5994.658,0.003403025,93.05555556
195000,6025.482,0.003481677,93.45238095
196000,6057.558,0.003510264,93.3531746
197000,6089.702,0.003468081,93.3531746
198000,6120.364,0.003418672,93.25396825
